Designator,Mid X,Mid Y,Rotation,Layer
C1,129.3,-103.9,270,T
C2,139.4,-100.1,270,T
C3,129.4,-100.1,270,T
C4,142.8,-132.625,270,T
C5,136.7,-104.6,180,T
C6,120.925,-127.225,270,T
C7,149.6,-115.675,180,T
C8,121.7,-108.8,270,T
C9,120.025,-116.225,0,T
C10,121.2,-122,0,T
C11,123.525,-129.325,90,T
C12,131.725,-132.625,90,T
C13,156.4,-88.875,90,T
C14,145.125,-132.525,90,T
C15,149.6,-120.7,180,T
C16,142.625,-140.225,270,T
C17,148.6,-88.175,90,T
C18,112.6,-83.2,0,T
C19,137.325,-132.725,90,T
C20,138.325,-140.175,270,T
C21,127.8,-103.9,270,T
C22,156.4,-92.825,270,T
C23,120,-83.2,0,T
C24,154.525,-100.75,270,T
C25,136.4,-158.175,180,T
C26,141.275,-158.175,180,T
C27,120.2,-65.8,0,T
C28,112,-65.8,180,T
C29,120,-97.9,90,T
C30,120,-89.8,270,T
C31,153.1,-89.025,180,T
C32,105.6,-89.8,270,T
C33,150.3,-88.15,90,T
C34,105.6,-97.8,90,T
C35,152.925,-100.775,90,T
C36,145.05,-65.075,90,T
C37,145.925,-142.225,180,T
C38,102.125,-53.825,90,T
C39,147.625,-56.275,90,T
C40,111.425,-55.625,270,T
C41,155.075,-56.225,270,T
C42,134.525,-140.075,270,T
C43,156.225,-100.625,270,T
C44,123.425,-140.425,270,T
C45,113,-112.7,270,T
C46,149.2,-109.05,180,T
C47,129.6,-91.9,90,T
C48,142.5,-91.9,90,T
C49,132.9,-90.8,0,T
C50,139,-90.8,180,T
C51,139.4,-75.6,180,T
C52,132.6,-75.6,0,T
D2,105.375,-56.45,90,T
D3,142.2,-56.175,270,T
D4,116.8,-56.05,90,T
L1,144.45,-69.95,0,T
R1,113.6,-79.8,270,T
R2,121,-79.8,270,T
R3,111.6,-79.8,90,T
R4,111.7,-109.2,0,T
R5,106.3,-109.2,180,T
R6,120.2,-94.6,180,T
R7,121.6,-97.8,270,T
R8,120.2,-92.75,180,T
R9,121.6,-89.8,90,T
R10,120,-67.8,0,T
R11,111.3,-112.7,270,T
R12,118.4,-97.8,90,T
R13,118.4,-89.8,270,T
R14,112.2,-67.8,180,T
R15,119,-79.8,90,T
R16,117,-66.6,270,T
R17,115.2,-66.6,270,T
R18,139.2,-77.8,180,T
R19,132.8,-77.8,0,T
R20,142.3,-76.7,90,T
R21,129.8,-76.7,90,T
R22,105.45,-52.775,180,T
R23,105.8,-92.8,180,T
R24,104,-89.8,90,T
R25,105.8,-94.6,180,T
R26,104,-97.8,270,T
R27,107.2,-89.8,270,T
R28,107.2,-97.8,90,T
R29,113,-118.7,270,T
R30,105.2,-123.4,270,T
R31,106.9,-123.4,270,T
R32,153,-133.5,180,T
R33,153,-131.02,180,T
R34,111.3,-118.7,90,T
R36,133,-94.8,0,T
R37,144.6,-91.8,90,T
R38,133,-93,0,T
R39,139,-93,0,T
R40,133,-88.6,0,T
R41,139,-88.6,180,T
R42,129.6,-87.5,270,T
R43,142.4,-87.5,270,T
U1,135.025,-117.925,180,T
U2,133.825,-149.925,270,T
U3,151.325,-94.65,180,T
U4,115.9,-73,270,T
U5,112.8,-93.95,90,T
U6,105.95,-115.425,90,T
U7,136,-83,0,T
U8,151.125,-66.475,90,T
Y1,134.45,-100.025,0,T
